key,registrationMoment,typeOfIncident,description,severityLevel,draftMode,key:activityLogAssignment
log-01,2022/09/09 00:30,Fallo de un motor,Uno de los motores del avión dejó de funcionar.,10,false,assignment-01
log-02,2022/09/10 19:45,Baja presión del avión,La presión del avión bajó demasiado.,7,false,assignment-02
log-03,2022/09/11 20:20,Zona de turbulencias,El avión entró en zona de turbulencias.,4,false,assignment-02
log-04,2022/09/12 06:35,Pequeña fisura,La ventana del avión recibió daño.,9,false,assignment-04
# base entity
log-05,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,10,false,assignment-01
# registrationMoment - standard variations
log-06,2023/11/01 17:01,Lorem ipsum,Lorem ipsum,0,false,assignment-01
log-07,2022/09/01 10:02,Lorem ipsum,Lorem ipsum,0,false,assignment-01
log-08,2022/09/01 10:03,Lorem ipsum,Lorem ipsum,0,false,assignment-01
log-09,2024/12/31 23:59,Lorem ipsum,Lorem ipsum,0,false,assignment-01
log-10,2025/01/01 00:00,Lorem ipsum,Lorem ipsum,0,false,assignment-01
# typeOfIncident - standard variations
log-11,2022/09/09 00:30,Lorem ipsum dolor sit amet.,Lorem ipsum,0,false,assignment-01
log-12,2022/09/09 00:30,L,Lorem ipsum,0,false,assignment-01
log-13,2022/09/09 00:30,Lo,Lorem ipsum,0,false,assignment-01
log-14,2022/09/09 00:30,Lorem ipsum dolor sit amet consectetur elit,Lorem ipsum,0,false,assignment-01
log-15,2022/09/09 00:30,Lorem ipsum dolor sit amet. Consectetur elit seds.,Lorem ipsum,0,false,assignment-01
# typeOfIncident - no singular values
log-16,2022/09/09 00:30,โลเร็ม อิปซัม,Lorem ipsum,0,false,assignment-01
log-17,2022/09/09 00:30,لوريم إيبسوم,Lorem ipsum,0,false,assignment-01
log-18,2022/09/09 00:30,洛伦·伊普森,Lorem ipsum,0,false,assignment-01
log-19,2022/09/09 00:30,<marquee>Hacked</marquee>,Lorem ipsum,0,false,assignment-01
log-20,2022/09/09 00:30,<script>alert(‘Hacked!’);</script>,Lorem ipsum,0,false,assignment-01
log-21,2022/09/09 00:30,'' or 'A' = 'A,Lorem ipsum,0,false,assignment-01
# description - standard variations
log-22,2022/09/09 00:30,Lorem ipsum,Lorem ipsum dolor sit amet. Consectetur elit sed do. Ut enim ad minim veniam.,0,false,assignment-01
log-23,2022/09/09 00:30,Lorem ipsum,L,0,false,assignment-01
log-24,2022/09/09 00:30,Lorem ipsum,Lor,0,false,assignment-01
log-25,2022/09/09 00:30,Lorem ipsum,Lorem ipsum dolor sit amet. Consectetur elit sed do.,0,false,assignment-01
log-26,2022/09/09 00:30,Lorem ipsum,Lorem ipsum dolor sit amet. Consectetur elit sed do.,0,false,assignment-01
# description - no singular values
log-27,2022/09/09 00:30,Lorem ipsum,โลเร็ม อิปซัม,0,false,assignment-01
log-28,2022/09/09 00:30,Lorem ipsum,при,0,false,assignment-01
log-29,2022/09/09 00:30,Lorem ipsum,洛伦·伊普森,0,false,assignment-01
log-30,2022/09/09 00:30,Lorem ipsum,<marquee>Hacked</marquee>,0,false,assignment-01
log-31,2022/09/09 00:30,Lorem ipsum,<script>alert(‘Hacked!’);</script>,0,false,assignment-01
log-32,2022/09/09 00:30,Lorem ipsum,'' or 'A' = 'A,0,false,assignment-01
# severityLevel - standard variations
log-33,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,5,false,assignment-01
log-34,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,0,false,assignment-01
log-35,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,2,false,assignment-01
log-36,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,8,false,assignment-01
log-37,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,10,false,assignment-01
# draftMode - standard variations
log-38,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,10,false,assignment-01
log-39,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,10,true,assignment-01
# flightassignment - standard variations
log-40,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,10,true,assignment-33
log-41,2022/09/09 00:30,Lorem ipsum,Lorem ipsum,10,true,assignment-33
