key,tag,selfTransfer,cost,draftMode,description,key:airline
# base entity
flight-01,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-01
# tag - standard variations
flight-02,L,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-01
flight-03,Lo,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-27
flight-04,Lorem ipsum dolor sit amet consectetur adipiscin,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-27
flight-05,Lorem ipsum,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-01
flight-06,โลเร็ม อิปซัม,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-01
flight-07,لوريم إيبسوم,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-01
flight-08,洛伦·伊普森,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-01
flight-09,<marquee>Hacked</marquee>,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-02
flight-10,<script>alert(‘Hacked!’);</script>,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-03
flight-11,' or 'A' = 'A,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-01
# tag - no singular values
# requires-self-transfer - standard variations
flight-12,Lorem ipsum dolor sit ame,TRUE,EUR 500.00,TRUE,Lorem ipsum,airline-01
# requires-self-transfer - no singular values
# cost - standard variations
flight-13,Lorem ipsum dolor sit ame,FALSE,EUR 0.00,TRUE,Lorem ipsum,airline-01
flight-14,Lorem ipsum dolor sit ame,FALSE,EUR 0.01,TRUE,Lorem ipsum,airline-01
flight-15,Lorem ipsum dolor sit ame,FALSE,EUR 999999.99,TRUE,Lorem ipsum,airline-01
flight-16,Lorem ipsum dolor sit ame,FALSE,EUR 1000000.00,TRUE,Lorem ipsum,airline-01
# cost - no singular values
# draftMode - standard variations
flight-17,Lorem ipsum dolor sit ame,FALSE,EUR 499.99,FALSE,Lorem ipsum,airline-01
# draftMode - no singular values
# description - standard variations
flight-18,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,,airline-01
flight-19,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,L,airline-01
flight-20,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,Lo,airline-01
flight-21,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,El vuelo comenzó puntualmente. el avión despegó suavemente y pronto se alzó entre las nubes.,airline-01
flight-22,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,El vuelo comenzó puntualmente. el avión despegó suavemente y pronto se alzó entre las nubes.,airline-01
flight-23,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,โลเร็ม อิปซัม,airline-01
flight-24,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,لوريم إيبسوم,airline-01
flight-25,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,洛伦·伊普森,airline-01
flight-26,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,<marquee>Hacked</marquee>,airline-01
flight-27,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,<script>alert(‘Hacked!’);</script>,airline-01
flight-28,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,' or 'A' = 'A,airline-01
# description - no singular values
# airline - standard variations
flight-29,Lorem ipsum dolor sit ame,FALSE,EUR 500.00,TRUE,Lorem ipsum,airline-47
# airline - no singular values
