key,maintenanceMoment,status,nextInspectionDue,estimatedCost,notes,draftMode,key:technician,key:aircraft
# base entity
maintenanceRecord-00,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
# maintenanceMoment - standard variations
maintenanceRecord-01,2000/01/01 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
maintenanceRecord-02,2000/01/01 00:01,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
maintenanceRecord-03,2024/12/31 23:58,COMPLETED,2024/12/31 23:59,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
maintenanceRecord-04,2024/12/31 23:59,COMPLETED,2025/01/01 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
# maintenanceMoment - no singular values
# status - standard variations
maintenanceRecord-05,2012/07/02 00:00,PENDING,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
maintenanceRecord-06,2012/07/02 00:00,IN_PROGRESS,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
maintenanceRecord-07,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
# status - no singular values
# nextInspectionDue - standard variations
maintenanceRecord-08,2000/01/01 00:00,COMPLETED,2000/01/01 00:01,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
maintenanceRecord-09,2000/01/01 00:01,COMPLETED,2000/01/01 00:02,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
maintenanceRecord-10,2012/07/02 00:00,COMPLETED,2024/12/31 23:59,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
maintenanceRecord-11,2012/07/02 00:00,COMPLETED,2025/01/01 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
# nextInspectionDue - no singular values
# draftMode - standard variations
maintenanceRecord-12,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,false,technician-01,aircraft-01
maintenanceRecord-13,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,false,technician-02,aircraft-01
# draftMode - no singular values,"","","","","","","",""
# estimatedCost - standard variations,"","","","","","",""
maintenanceRecord-14,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 0.00,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
maintenanceRecord-15,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 0.01,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
maintenanceRecord-16,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 999999.99,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
maintenanceRecord-17,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 1000000.00,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-01,aircraft-01
# estimatedCost - no singular values
#key:technician
maintenanceRecord-18,2012/07/02 00:00,COMPLETED,2012/07/12 00:00,EUR 500000,Lorem ipsum dolor sit amet. consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,true,technician-02,aircraft-01
# notes - standard variations
