key,locatorCode,purchaseMoment,travelClass,lastCardNibble,draftMode,key:customer,key:flight
# base entity
booking-00,ABC1234,2024/09/01 10:00,ECONOMY,1234,false,customer-01,flight-01
# locatorCode - standard variations
booking-01,ABCDEF,2024/09/01 10:00,ECONOMY,1234,false,customer-01,flight-01
booking-02,12345678,2024/09/01 10:00,ECONOMY,1234,false,customer-01,flight-01
booking-03,123ABCD,2024/09/01 10:00,ECONOMY,1234,false,customer-01,flight-01
# locatorCode - no singular values
# purchaseMoment - standard variations
booking-04,ABC1235,2025/01/01 00:00,ECONOMY,1234,false,customer-01,flight-01
booking-05,ABC1236,2024/12/31 23:59,ECONOMY,1234,false,customer-01,flight-01
booking-06,ABC1237,2000/01/01 00:01,ECONOMY,1234,false,customer-01,flight-01
booking-07,ABC1238,2000/01/01 00:00,ECONOMY,1234,false,customer-01,flight-01
# purchaseMoment - no singular values
# travelClass - standard variations
booking-08,ABC1239,2024/09/01 10:00,ECONOMY,1234,false,customer-01,flight-01
booking-09,ABC1230,2024/09/01 10:00,BUSSINESS,1234,false,customer-01,flight-01
# travelClass - no singular values
# lastCardNibble - standard variations
booking-10,ABC2634,2024/09/01 10:00,ECONOMY,6789,false,customer-01,flight-01
booking-11,ABC2734,2024/09/01 10:00,ECONOMY,0123,false,customer-01,flight-01
booking-12,ABC2834,2024/09/01 10:00,ECONOMY,null,false,customer-01,flight-01
# lastCardNibble - no singular values
# draftMode - standard variations
booking-13,ABC2034,2024/09/01 10:00,ECONOMY,1234,true,customer-01,flight-01
# draftMode - no singular values
# key:customer - standard variations
booking-14,ABC2934,2024/09/01 10:00,ECONOMY,1234,false,customer-02,flight-01
booking-15,ABC3034,2024/09/01 10:00,ECONOMY,1234,false,customer-03,flight-01
# key:customer - no singular values
# key:flight - standard variations
booking-16,ABC3134,2024/09/01 10:00,ECONOMY,1234,false,customer-01,flight-04
booking-17,ABC3234,2024/09/01 10:00,ECONOMY,1234,false,customer-01,flight-08
# key:flight - no singular values
