key,duty,lastUpdateMoment,currentStatus,remarks,draftMode,key:flightCrewMember,key:leg
assignment-01,PILOT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-01
assignment-02,COPILOT,2021/02/16 19:35,CONFIRMED,"",false,member-02,leg-02
assignment-03,LEAD_ATTENDANT,2022/02/10 10:00,PENDING,"",true,member-03,leg-03
assignment-04,CABIN_ATTENDANT,2023/01/06 17:15,CANCELLED,"",false,member-04,leg-04
# base entity
assignment-05,PILOT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-01
# duty - standard variations
assignment-06,PILOT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-01
assignment-07,COPILOT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-01
assignment-08,LEAD_ATTENDANT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-01
assignment-09,CABIN_ATTENDANT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-01
# lastUpdateMoment - standard variations
assignment-10,PILOT,2012/07/02 00:00,CONFIRMED,"",false,member-01,leg-01
assignment-11,PILOT,2000/01/01 00:00,CONFIRMED,"",false,member-01,leg-01
assignment-12,PILOT,2000/01/01 00:01,CONFIRMED,"",false,member-01,leg-01
assignment-13,PILOT,2024/12/31 23:59,CONFIRMED,"",false,member-01,leg-01
assignment-14,PILOT,2025/01/01 00:00,CONFIRMED,"",false,member-01,leg-01
assignment-15,PILOT,2025/01/01 00:00,CONFIRMED,"",false,member-01,leg-01
# currentStatus - standard variations
assignment-16,PILOT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-01
assignment-17,PILOT,2022/03/03 00:30,PENDING,"",false,member-01,leg-01
assignment-18,PILOT,2022/03/03 00:30,CANCELLED,"",false,member-01,leg-01
# remarks - no singular values
assignment-19,PILOT,2022/03/03 00:30,CONFIRMED,Lorem ipsum dolor sit amet. Consectetur elit sed do. Ut enim ad minim veniam. Quis nostrud exercitation ullamco laboris nisi.,false,member-01,leg-01
assignment-20,PILOT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-01
assignment-21,PILOT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-01
assignment-22,PILOT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-01
assignment-23,PILOT,2022/03/03 00:30,CONFIRMED,L,false,member-01,leg-01
assignment-24,PILOT,2022/03/03 00:30,CONFIRMED,Lorem ipsum dolor sit amet. Consectetur elit sed do. Ut enim ad minim veniam. Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat.,false,member-01,leg-01
assignment-25,PILOT,2022/03/03 00:30,CONFIRMED,Lorem ipsum dolor sit amet. Consectetur elit sed do. Ut enim ad minim veniam. Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiates.,false,member-01,leg-01
# remarks - no singular values
assignment-26,PILOT,2022/03/03 00:30,CONFIRMED,โลเร็ม อิปซัม,false,member-01,leg-01
assignment-27,PILOT,2022/03/03 00:30,CONFIRMED,при,false,member-01,leg-01
assignment-28,PILOT,2022/03/03 00:30,CONFIRMED,洛伦·伊普森,false,member-01,leg-01
assignment-29,PILOT,2022/03/03 00:30,CONFIRMED,<marquee>Hacked</marquee>,false,member-01,leg-01
assignment-30,PILOT,2022/03/03 00:30,CONFIRMED,<script>alert(‘Hacked!’);</script>,false,member-01,leg-01
assignment-31,PILOT,2022/03/03 00:30,CONFIRMED,'' or 'A' = 'A,false,member-01,leg-01
# draftMode - standar variations
assignment-32,PILOT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-01
assignment-33,PILOT,2022/03/03 00:30,CONFIRMED,"",true,member-01,leg-01
# leg - standar variations
assignment-34,PILOT,2022/03/03 00:30,CONFIRMED,"",false,member-01,leg-05
