key,flightNumber,scheduledDeparture,scheduledArrival,status,key:airline,key:flight,key:departureAirport,key:arrivalAirport,key:aircraft
# base entity
leg-00,FRX1001,2000/01/01 0:00,2000/01/01 23:59,ON_TIME,airline-00,flight-01,airport-00,airport-01,aircraft-01
# flight-number - standard variations
leg-01,FRX0000,2000/01/01 0:00,2000/01/01 23:59,ON_TIME,airline-00,flight-01,airport-00,airport-01,aircraft-01
leg-02,FRX0001,2000/01/01 0:00,2000/01/01 23:59,ON_TIME,airline-00,flight-01,airport-00,airport-01,aircraft-01
leg-03,FRX9998,2000/01/01 12:00,2000/01/01 23:59,ON_TIME,airline-00,flight-01,airport-00,airport-01,aircraft-01
leg-04,FRX9999,2000/01/01 13:00,2000/01/01 23:59,ON_TIME,airline-00,flight-01,airport-00,airport-01,aircraft-01
# flight-number - no singular values
# scheduled-departure - standard variations
leg-06,FRX0002,2000/01/01 0:00,2000/01/01 23:59,ON_TIME,airline-00,flight-01,airport-00,airport-01,aircraft-01
leg-07,FRX0003,2000/01/01 0:01,2000/01/01 23:59,ON_TIME,airline-00,flight-02,airport-00,airport-01,aircraft-01
leg-08,FRX0004,2200/12/31 23:57,2000/01/01 23:59,ON_TIME,airline-00,flight-03,airport-00,airport-01,aircraft-01
leg-09,FRX0005,2200/12/31 23:58,2000/01/01 23:59,ON_TIME,airline-00,flight-04,airport-00,airport-01,aircraft-01
# scheduled-departure - no singular values
# scheduled-arrival - standard variations
leg-11,FRX0006,2000/01/01 0:00,2000/01/01 0:01,ON_TIME,airline-00,flight-05,airport-00,airport-01,aircraft-01
leg-12,FRX0007,2000/01/01 0:00,2000/02/01 0:02,ON_TIME,airline-00,flight-06,airport-00,airport-01,aircraft-01
leg-13,FRX0008,2000/01/01 0:00,2200/12/31 23:58,ON_TIME,airline-00,flight-07,airport-00,airport-01,aircraft-01
leg-14,FRX0009,2000/01/01 0:00,2200/12/31 23:59,ON_TIME,airline-00,flight-08,airport-00,airport-01,aircraft-01
# scheduled-arrival - no singular values
# status - standard variations
leg-15,FRX0010,2000/01/01 0:00,2000/01/01 23:59,DELAYED,airline-00,flight-04,airport-00,airport-01,aircraft-01
leg-16,FRX0011,2000/01/01 0:00,2000/01/01 23:59,CANCELLED,airline-00,flight-05,airport-00,airport-01,aircraft-01
leg-17,FRX0012,2000/01/01 0:00,2000/01/01 23:59,LANDED,airline-00,flight-06,airport-00,airport-01,aircraft-01
# status - no singular values
# airline - standard variations
leg-18,FRX0013,2000/01/01 0:00,2000/01/01 23:59,ON_TIME,airline-02,flight-09,airport-00,airport-01,aircraft-01
leg-19,FRX0014,2000/01/01 0:00,2000/01/01 23:59,ON_TIME,airline-03,flight-10,airport-00,airport-01,aircraft-01
# airline - no singular values
# flight - standard variations
leg-20,FRX0015,2000/01/01 0:00,2000/01/01 23:59,ON_TIME,airline-00,flight-22,airport-00,airport-01,aircraft-01
# flight - no singular values
# departure-airport - standard variations
leg-21,FRX0016,2000/01/01 0:00,2000/01/01 23:59,ON_TIME,airline-00,flight-11,airport-10,airport-00,aircraft-01
# departure-airport - no singular values
# arrival-airport - standard variations
leg-22,FRX0017,2000/01/01 0:00,2000/01/01 23:59,ON_TIME,airline-00,flight-12,airport-00,airport-11,aircraft-01
# arrival-airport - no singular values
# aircraft - standard variations
leg-23,FRX0018,2000/01/01 0:00,2000/01/01 23:59,ON_TIME,airline-00,flight-29,airport-00,airport-01,aircraft-11
# aircraft - no singular values
