key,flightNumber,scheduledDeparture,scheduledArrival,status,key:flight,key:departureAirport,key:arrivalAirport,key:aircraft
# base entity
leg-00,FRX1001,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,flight-01,airport-00,airport-01,aircraft-01
# flight-number - standard variations
leg-01,FRX0000,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,flight-01,airport-00,airport-01,aircraft-01
leg-02,FRX0001,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,flight-01,airport-00,airport-01,aircraft-01
leg-03,FRX9998,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,flight-01,airport-00,airport-01,aircraft-01
leg-04,FRX9999,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,flight-01,airport-00,airport-01,aircraft-01
# flight-number - no singular values
# scheduled-departure - standard variations
leg-05,FRX0002,2030/08/08 08:08,2030/12/31 15:00,ON_TIME,flight-01,airport-00,airport-01,aircraft-01
leg-06,FRX0003,2024/12/31 23:59,2025/01/01 00:01,ON_TIME,flight-02,airport-00,airport-01,aircraft-01
leg-07,FYX0004,2000/01/01 00:01,2010/01/01 15:00,ON_TIME,flight-03,airport-00,airport-01,aircraft-01
leg-08,FYX0005,2000/01/01 00:00,2010/01/01 15:00,ON_TIME,flight-04,airport-00,airport-01,aircraft-01
# scheduled-departure - no singular values
# scheduled-arrival - standard variations
leg-09,FRX0006,2010/01/01 12:00,2026/01/01 00:00,ON_TIME,flight-05,airport-00,airport-01,aircraft-01
leg-10,FRX0007,2010/01/01 12:00,2030/12/31 23:59,ON_TIME,flight-06,airport-00,airport-01,aircraft-01
leg-11,FRX0008,2010/01/01 12:00,2200/12/31 23:58,ON_TIME,flight-07,airport-00,airport-01,aircraft-01
leg-12,FRX0009,2010/01/01 12:00,2200/12/31 23:59,ON_TIME,flight-08,airport-00,airport-01,aircraft-01
# scheduled-arrival - no singular values
# status - standard variations
leg-13,FRX0010,2010/01/01 12:00,2010/01/01 15:00,DELAYED,flight-27,airport-00,airport-01,aircraft-01
leg-14,FRX0011,2010/01/01 12:00,2010/01/01 15:00,CANCELLED,flight-05,airport-00,airport-01,aircraft-01
leg-15,FRX0012,2010/01/01 12:00,2010/01/01 15:00,LANDED,flight-06,airport-00,airport-01,aircraft-01
# status - no singular values
# airline - standard variations
leg-16,FBX0013,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,flight-09,airport-00,airport-01,aircraft-01
leg-17,FCX0014,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,flight-10,airport-00,airport-01,aircraft-01
# airline - no singular values
# flight - standard variations
leg-18,FRX0015,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,flight-22,airport-00,airport-01,aircraft-01
# flight - no singular values
# departure-airport - standard variations
leg-19,FRX0016,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,flight-11,airport-10,airport-00,aircraft-01
# departure-airport - no singular values
# arrival-airport - standard variations
leg-20,FRX0017,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,flight-12,airport-00,airport-11,aircraft-01
# arrival-airport - no singular values
# aircraft - standard variations
leg-21,FRX0018,2010/01/01 12:00,2010/01/01 15:00,ON_TIME,flight-28,airport-00,airport-01,aircraft-11
# aircraft - no singular values
