key,name,picture,avgDwellTime,promotionCode,money
#base-entity,"","","","",""
Service-01,Lorem ipsum dolor sit ame,https://www.aviationgroup.es/wp-content/uploads/2022/11/avion-blanco.jpg,30.00,ABCD-25,40.00
#name,"","","","",""
Service-02,L,https://s1.elespanol.com/2020/09/25/omicrono/tecnologia/tecnologia-tecnologia_523458626_160950481_1706x960.jpg,30.00,ABCE-25,40.00
Service-03,Lo,https://www.muyinteresante.com/wp-content/uploads/sites/5/2023/08/07/64d0c0b2583a6.jpeg,30.00,ABCF-25,40.00
Service-04,"Lorem ipsum dolor sit amet, consectetur adipiscin",https://img.static-af.com/transform/e56219e9-21c7-4bb0-b7a5-f5353a5140d3/,30.00,ABCG-25,40.00
Service-05,"Lorem ipsum dolor sit amet, consectetur adipiscing",https://www.oneair.es/wp-content/uploads/2023/06/aviones-airbus-el-diseno-que-conquisto-el-cielo.jpg,30.00,ABCH-25,40.00
Service-06,โลเร็ม อิปซัม,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrphbmEsX-gKn9gk3inetH9H4eOWDQjbi6iQ&s,30.00,ABCI-25,40.00
Service-07,洛伦·伊普森,https://media.cnn.com/api/v1/images/stellar/prod/cnne-1689366-240508093053-07-embraer-profile.jpg?c=original,30.00,ABCJ-25,40.00
Service-08,لوريم إيبسوم,https://www.mapfreglobalrisks.com/media/Imagen-portada-adaptada-2-1.jpg,30.00,ABCK-25,40.00
Service-09,<marquee>Hacked</marquee>,https://www.oneair.es/wp-content/uploads/2024/05/aviones-de-carga.jpg,30.00,ABCL-25,40.00
Service-10,<script>alert(‘Hacked!’);</script>,https://c.files.bbci.co.uk/1724E/production/_89989749_thinkstockphotos-463291941.jpg,30.00,ABCM-25,40.00
Service-11,' or 'A' = 'A,https://imagenes.elpais.com/resizer/v2/GCTDS64TOOWRBS7FW74M5MZSIQ.jpg?auth=c4df492f2676bd1a8293edead622782a80cb3ea260a6c486e1bc682de6941099&width=414,30.00,ABCN-25,40.00
#picture,"","","","",""
Service-12,Lorem ipsum dolor sit ame,http://a.b,30.00,ABCO-25,40.00
Service-13,Lorem ipsum dolor sit ame,http://a.b,30.00,ABCP-25,40.00
Service-14,Lorem ipsum dolor sit ame,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",30.00,ABCQ-25,40.00
Service-15,Lorem ipsum dolor sit ame,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",30.00,ABCR-25,40.00
Service-16,Lorem ipsum dolor sit ame,https://www.lorem-ipsum.org,30.00,ABCS-25,40.00
Service-17,Lorem ipsum dolor sit ame,http://www.lorem-ipsum.org,30.00,ABCT-25,40.00
Service-18,Lorem ipsum dolor sit ame,http://www.lorem-ipsum.org/dolor/sit.html,30.00,ABCU-25,40.00
