key,name,iataCode,operationalScope,country,city
#base entity
airport-00,Lorem ipsum dolor sit,FGV,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
# name - standard variations,""
airport-01,L,AAA,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-02,Lo,AAB,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-03,Lorem ipsum dolor sit amet consectetur adipiscing,AAC,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-04,Lorem ipsum dolor sit amet consectetur adipiscin,AAD,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-05,โลเร็ม อิปซัม,AAE,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-06,لوريم إيبسوم,AAF,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-07,洛伦·伊普森,AAG,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-08,<marquee>Hacked</marquee>,AAH,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-09,<script>alert(‘Hacked!’);</script>,AAI,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-10,' or 'A' = 'A,AAJ,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
# name - no singular values,"",""
# iataCode - standard variations
airport-11,Lorem ipsum dolor sit,ABA,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-12,Lorem ipsum dolor sit,ABB,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-13,Lorem ipsum dolor sit,XXX,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-14,Lorem ipsum dolor sit,ZZZ,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
# iataCode - no singular values,"",""
# internationalScope - standard variations
airport-15,Lorem ipsum dolor sit,ACA,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-16,Lorem ipsum dolor sit,ACB,DOMESTIC,Lorem ipsum dolor sit,Lorem ipsum dolor sit
airport-17,Lorem ipsum dolor sit,ACC,INTERNATIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit
# internationalScope - no singular values,"","","",""
# country - standard variations
airport-18,Lorem ipsum dolor sit,ADA,REGIONAL,L,Lorem ipsum dolor sit
airport-19,Lorem ipsum dolor sit,ADB,REGIONAL,Lo,Lorem ipsum dolor sit
airport-20,Lorem ipsum dolor sit,ADC,REGIONAL,Lorem ipsum dolor sit amet consectetur adipiscing,Lorem ipsum dolor sit
airport-21,Lorem ipsum dolor sit,ADD,REGIONAL,Lorem ipsum dolor sit amet consectetur adipiscin,Lorem ipsum dolor sit
airport-22,Lorem ipsum dolor sit,ADE,REGIONAL,โลเร็ม อิปซัม,Lorem ipsum dolor sit
airport-23,Lorem ipsum dolor sit,ADF,REGIONAL,لوريم إيبسوم,Lorem ipsum dolor sit
airport-24,Lorem ipsum dolor sitLorem ipsum dolor sit,ADG,REGIONAL,洛伦·伊普森,Lorem ipsum dolor sit
airport-25,Lorem ipsum dolor sit,ADH,REGIONAL,<marquee>Hacked</marquee>,Lorem ipsum dolor sit
airport-26,Lorem ipsum dolor sit,ADI,REGIONAL,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit
airport-27,Lorem ipsum dolor sit,ADJ,REGIONAL,' or 'A' = 'A,Lorem ipsum dolor sit
# country - no singular values
# city - standard variations
airport-28,Lorem ipsum dolor sit,AEA,REGIONAL,Lorem ipsum dolor sit,L
airport-29,Lorem ipsum dolor sit,AEB,REGIONAL,Lorem ipsum dolor sit,Lo
airport-30,Lorem ipsum dolor sit,AEC,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit amet consectetur adipiscing
airport-31,Lorem ipsum dolor sit,AED,REGIONAL,Lorem ipsum dolor sit,Lorem ipsum dolor sit amet consectetur adipiscin
airport-32,Lorem ipsum dolor sit,AEE,REGIONAL,Lorem ipsum dolor sit,โลเร็ม อิปซัม
airport-33,Lorem ipsum dolor sit,AEF,REGIONAL,Lorem ipsum dolor sit,لوريم إيبسوم
airport-34,Lorem ipsum dolor sit,AEG,REGIONAL,Lorem ipsum dolor sit,洛伦·伊普森
airport-35,Lorem ipsum dolor sit,AEH,REGIONAL,Lorem ipsum dolor sit,<marquee>Hacked</marquee>
airport-36,Lorem ipsum dolor sit,AEI,REGIONAL,Lorem ipsum dolor sit,<script>alert(‘Hacked!’);</script>
airport-37,Lorem ipsum dolor sit,AEJ,REGIONAL,Lorem ipsum dolor sit,' or 'A' = 'A
# city - no singular values
