key,name,iataCode,website,type,foundationMoment,email,phoneNumber
# base entity
airline-00,Lorem ipsum dolor sit ame,FRX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
# name - standard variations
airline-01,L,FAX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-02,Lo,FBX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-03,"Lorem ipsum dolor sit amet, consectetur adipiscin",FCX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-04,"Lorem ipsum dolor sit amet, consectetur adipiscing",FDX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-05,โลเร็ม อิปซัม,FEX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-06,لوريم إيبسوم,FFX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-07,洛伦·伊普森,FGX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-08,<marquee>Hacked</marquee>,FHX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-09,<script>alert(‘Hacked!’);</script>,FIX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-10,' or 'A' = 'A,FJX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
# name - no singular values
# code - variations
airline-11,Lorem ipsum dolor sit ame,TAX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-12,Lorem ipsum dolor sit ame,AAA,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-13,Lorem ipsum dolor sit ame,ZZZ,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
# code - no singular values
# website - standard variations
airline-14,Lorem ipsum dolor sit ame,FKX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-15,Lorem ipsum dolor sit ame,FLX,http://a.b,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-16,Lorem ipsum dolor sit ame,FMX,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/",STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-17,Lorem ipsum dolor sit ame,FNX,"http://www.lorem-ipsum.org/dolor/sit/amet,/consectetur/adipiscing/elit,/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/X",STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-18,Lorem ipsum dolor sit ame,FOX,http://www.lorem-ipsum.org,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-19,Lorem ipsum dolor sit ame,FPX,http://example.org?a=1&b=2,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-20,Lorem ipsum dolor sit ame,FQX,http://example.org/a/b?a&b,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
# website - no singular values
# type - standard variations
airline-21,Lorem ipsum dolor sit ame,FSX,http://lorem.com/ipsum,LUXURY,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-22,Lorem ipsum dolor sit ame,FTX,http://lorem.com/ipsum,STANDARD,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
airline-23,Lorem ipsum dolor sit ame,FUX,http://lorem.com/ipsum,LOW_COST,2010/01/01 10:00,acme@lorem-ipsum.org,872552447
# type - no singular values
# foundationMoment - standard variations,"","",""
airline-24,Lorem ipsum dolor sit ame,FVX,http://lorem.com/ipsum,STANDARD,2000/01/01 0:00,acme@lorem-ipsum.org,872552447
